state,district,party,candidate,votes
FL,19th District,DEM,Robert Neeld,123625
FL,20th District,DEM,Alcee Hastings,220452
FL,20th District,REP,Gary Stein,54079
FL,21st District,DEM,Lois Frankel,208999
FL,21st District,REP,Paul Spain,117273
FL,21st District,Other,Michael Trout,7148
FL,22nd District,DEM,Ted Deutch,197396
FL,22nd District,REP,Andrea McGee,137691
FL,23rd District,DEM,Debbie Wasserman Schultz,180979
FL,23rd District,REP,Joe Kaufman,129400
FL,23rd District,Other,Don Endriss,5100
FL,23rd District,Other,Lyle Milstein,3835
FL,24th District,DEM,Frederica Wilson,0
FL,25th District,REP,Mario Diaz-Balart,157748
FL,25th District,DEM,Alina Valdes,95008
FL,26th District,REP,Carlos Curbelo,148445
FL,26th District,DEM,Joe Garcia,115348
FL,26th District,Other,Jose Peixoto,16491
FL,27th District,REP,Ileana Ros-Lehtinen,157763
FL,27th District,DEM,Scott Fuhrman,129548
GA,1st District,REP,Buddy Carter,0
GA,2nd District,DEM,Sanford Bishop,146284
GA,2nd District,REP,Gregory Duke,93392
GA,3rd District,REP,Drew Ferguson,206930
GA,3rd District,DEM,Angela Pendley,95736
GA,4th District,DEM,Hank Johnson,214278
GA,4th District,REP,Victor Armendariz,69075
GA,5th District,DEM,John Lewis,241773
GA,5th District,REP,Douglas Bell,44032
GA,6th District,REP,Tom Price,191792
GA,6th District,DEM,Rodney Stooksbury,119536
GA,7th District,REP,Rob Woodall,173638
GA,7th District,DEM,Rashid Malik,113593
GA,8th District,REP,Austin Scott,171529
GA,8th District,DEM,James Harris,81903
GA,9th District,REP,Doug Collins,0
GA,10th District,REP,Jody Hice,0
GA,11th District,REP,Barry Loudermilk,216772
GA,11th District,DEM,Don Wilson,104401
GA,12th District,REP,Rick Allen,158705
GA,12th District,DEM,Tricia McCracken,98870
GA,13th District,DEM,David Scott,0
GA,14th District,REP,Tom Graves,0
HI,1st District,DEM,Colleen Hanabusa,145365
HI,1st District,REP,Shirlene Ostrov,44071
HI,1st District,Other,Alan Yim,5556
HI,1st District,Other,Calvin Griffin,4377
HI,2nd District,DEM,Tulsi Gabbard,170829
HI,2nd District,REP,Angela Kaaihue,39662
ID,1st District,REP,Raul Labrador,236397
ID,1st District,DEM,James Piotrowski,111035
ID,2nd District,REP,Mike Simpson,208887
ID,2nd District,DEM,Jennifer Martinez,97250
ID,2nd District,Other,Anthony Tomkins,25575
IL,1st District,DEM,Bobby Rush,221551
IL,1st District,REP,August Deuser,80161
IL,2nd District,DEM,Robin Kelly,229184
IL,2nd District,REP,John Morrow,58788
IL,3rd District,DEM,Daniel Lipinski,0
IL,4th District,DEM,Luis Gutierrez,0
IL,5th District,DEM,Mike Quigley,201983
IL,5th District,REP,Vince Kolber,82931
IL,5th District,Other,Rob Sherman,13867
IL,6th District,REP,Peter Roskam,205746
IL,6th District,DEM,Amanda Howland,140023
IL,7th District,DEM,Danny Davis,232322
IL,7th District,REP,Jeffrey Leef,44242
IL,8th District,DEM,Raja Krishnamoorthi,141138
IL,8th District,REP,Pete DiCianni,101893
IL,9th District,DEM,Janice Schakowsky,203834
IL,9th District,REP,Joan McCarthy Lasonde,105920
IL,10th District,DEM,Brad Schneider,147299
IL,10th District,REP,Robert Dold,133383
IL,11th District,DEM,Bill Foster,157659
IL,11th District,REP,Tonia Khouri,105762
IL,12th District,REP,Mike Bost,169233
IL,12th District,DEM,C.J. Baricevic,123754
IL,12th District,Other,Paula Bradshaw,18713
IL,13th District,REP,Rodney Davis,186791
IL,13th District,DEM,Mark Wicklund,125932
IL,14th District,REP,Randall Hultgren,197962
IL,14th District,DEM,Jim Walz,134362
IL,15th District,REP,John Shimkus,0
IL,16th District,REP,Adam Kinzinger,0
IL,17th District,DEM,Cheri Bustos,170746
IL,17th District,REP,Patrick Harlan,113141
IL,18th District,REP,Darin LaHood,248701
IL,18th District,DEM,Junius Rodriguez,95741
IN,1st District,DEM,Peter Visclosky,207299
IN,1st District,Other,Donna Dunn,47009
IN,2nd District,REP,Jackie Walorski,164276
IN,2nd District,DEM,Lynn Coleman,102332
IN,2nd District,Other,Ron Cenkush,10594
IN,3rd District,REP,Jim Banks,201216
IN,3rd District,DEM,Tommy Schrader,65908
IN,3rd District,Other,Pepper Snyder,19782
IN,4th District,REP,Todd Rokita,193272
IN,4th District,DEM,John Dale,91153
IN,4th District,Other,Steven Mayoras,14758
IN,5th District,REP,Susan Brooks,221785
IN,5th District,DEM,Angela Demaree,123791
IN,5th District,Other,Matthew Wittlief,15324
IN,6th District,REP,Luke Messer,204844
IN,6th District,DEM,Barry Welsh,79075
IN,6th District,Other,Rich Turvey,12325
IN,7th District,DEM,Andre Carson,158606
IN,7th District,REP,Catherine Ping,94396
IN,7th District,Other,Drew Thompson,11470
IN,8th District,REP,Larry Bucshon,187569
